餐廳名稱,城市
魚多多餐廳,連江縣
一起@驛站,
Hugosum和菓森林紅茶莊園,南投縣
紅麴館,南投縣
蘇媽媽湯圓,南投縣
觀音山莊餐廳,南投縣
鹹油條,南投縣
戲綠川民宿/甫田6號部落美食餐廳,南投縣
樹蛙亭田園坊,南投縣
樂涼軒,南投縣
德化小吃部,南投縣
臺華窯,南投縣
新山味餐廳,南投縣
大城黑糖饅頭,南投縣
黑豆園活魚料理餐廳,南投縣
雅池園餐廳,南投縣
朝霧渡假餐飲小棧,南投縣
雪花素食,南投縣
涵碧樓大飯店,南投縣
梅荷園日光湖畔,南投縣
烏布雨林餐廳,南投縣
家鄉烤肉,南投縣
胡切仔麵,南投縣
胡國雄古早麵,南投縣
春華飯店,南投縣
施家肉圓,南投縣
阿薩姆小吃,南投縣
阿榮邵族麵,南投縣
阿菊肉圓,南投縣
炎術,南投縣
河堤慢食,南投縣
卓肉丸,南投縣
佳和素食,南投縣
亞卓鄉土客家菜餐廳,南投縣
李仔哥爌肉飯,南投縣
你我他晚點,南投縣
西施肉丸,南投縣
台灣味腳庫飯,南投縣
古早味野菜餐廳,南投縣
牛相觸花園餐坊,南投縣
日光湖畔風味飲食館,南投縣
雲品溫泉酒店,南投縣
日月潭晶園渡假村,南投縣
日月潭富豪群度假別墅,南投縣
日月潭教師會館桃李緣餐廳,南投縣
日月潭大飯店,南投縣
方正谷合菜,南投縣
支蠟小館,南投縣
今日餐廳,南投縣
大樹下肉圓,南投縣
大淶閣大飯店,南投縣
土角厝水上餐廳,南投縣
九張桌子,南投縣
pizza factory 披薩工廠-日月潭店,南投縣
February coffee,南投縣
Feeling18巧克力工房,南投縣
百順燒鴨,南投縣
董家肉圓-二哥,南投縣
阿婆慢慢麵,南投縣
山之味羊肉餐廳,南投縣
水里野味王,南投縣
丹姐私房菜,南投縣
水里羊肉王,南投縣
水里鵝肉大王,南投縣
台電二坪枝仔冰,南投縣
大觀冰店,南投縣
董家肉圓-四弟,南投縣
董家肉圓-三哥,南投縣
陳家豆花,南投縣
豆花松,南投縣
木茶房,南投縣
三合院餐館,南投縣
車埕酒莊,南投縣
木之村小吃部,南投縣
車埕梅莊,南投縣
水里鄉農會真梅館,南投縣
車埕小飯店,南投縣
菩元珍,南投縣
車埕景觀咖啡,南投縣
澄石心天畝,南投縣
車埕客棧,南投縣
冬瓜伯,南投縣
阿嬤紅茶館,南投縣
約定幸福 - Pizza&Coffee,南投縣
La Bello 美妍冰淇淋,南投縣
阿聰師什錦麵,南投縣
隱茶,南投縣
九族文化村,南投縣
拂水山莊,南投縣
日月鳴茶館,南投縣
日月潭特色遊學中心-歐都納戶外山野勇氣館,南投縣
林班道體驗工廠,南投縣
森林超市,南投縣
紙箱王車埕店,南投縣
車埕社區發展協會(火車站),南投縣
故鄉林尾,南投縣
樂活倉庫,南投縣
生活文創館,南投縣
日月星舞民宿咖啡莊園,南投縣
兩薑總督,南投縣
敲敲木工房,南投縣
宗饌行,南投縣
造紙龍手創館,南投縣
桃米有水居創意餐坊,南投縣
日月潭茶莊,南投縣
Jijibanana集元果觀光工廠,南投縣
心栽茶【日月潭紅茶?自然農法】,南投縣
日月潭青年活動中心,南投縣
豐年靈芝菇類生態農場,南投縣
東益成商號-懷舊柑仔店,南投縣
水社綜合商場,南投縣
佑佑餐坊,南投縣
廖鄉長紅茶故事館,南投縣
HOHOCHA喝喝茶丨台灣香日月潭紅茶廠,南投縣
經典大飯店思麻丹館,南投縣
果寶歡酵觀光工廠,南投縣
信義鄉農會-梅子夢工廠,南投縣
膨鼠紅茶,南投縣
伊斯坦堡市集-日月潭門市,南投縣
茶二指故事館,南投縣
賽夏食堂,苗栗縣
丈母娘豆干,苗栗縣
福南小吃（原唯我獨鱒）庭園餐廳民宿,苗栗縣
江記花蜜桂花巷花茶湯圓,苗栗縣
寶珍餅舖,苗栗縣
以客唯鱒,苗栗縣
歇心茶樓,新竹縣
桂花園鄉村會館,苗栗縣
南庄農會家政班美食館,苗栗縣
清心園農場,苗栗縣
南庄抹茶冰,苗栗縣
邱記麻糬,苗栗縣
桂花巷荷蓮心咖啡,苗栗縣
食園農園餐廳,苗栗縣
飯盆頭,苗栗縣
新品珍古早餅,苗栗縣
古早味擂茶坊,苗栗縣
和豐農莊,苗栗縣
高山青鱒魚養殖場,苗栗縣
老金龍飯店,苗栗縣
佳鄉小吃,苗栗縣
禾園小吃,新竹縣
山東開心小館,台中市
鼎川客家小吃,台中市
李記小館,台中市
